,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,76100.0,0.0,0.00%,100.0,4543005.0,5969783.0,55.87,9667395.0,35.71,4.15,
2,2.0,SK하이닉스,172900.0,1300.0,+0.76%,5000.0,1258716.0,728002.0,54.41,2431044.0,-13.81,-15.61,
3,3.0,LG에너지솔루션,372500.0,6000.0,-1.59%,500.0,871650.0,234000.0,4.85,64869.0,70.46,6.36,
4,4.0,삼성바이오로직스,790000.0,12000.0,-1.50%,2500.0,562275.0,71174.0,12.0,14887.0,65.55,9.12,
5,5.0,삼성전자우,64200.0,300.0,+0.47%,100.0,528293.0,822887.0,75.81,488137.0,30.13,,
9,6.0,현대차,249000.0,4000.0,+1.63%,5000.0,521446.0,209416.0,39.59,701901.0,5.71,13.68,
10,7.0,기아,115600.0,500.0,+0.43%,5000.0,464763.0,402044.0,40.18,878367.0,5.31,20.44,
11,8.0,셀트리온,179300.0,600.0,+0.34%,1000.0,390963.0,218050.0,23.4,146170.0,49.27,5.07,
12,9.0,POSCO홀딩스,394500.0,500.0,-0.13%,5000.0,333634.0,84571.0,27.68,172372.0,19.65,3.18,
13,10.0,KB금융,73000.0,3500.0,+5.04%,5000.0,294563.0,403511.0,75.51,1251689.0,6.38,8.44,
17,11.0,NAVER,181000.0,100.0,+0.06%,100.0,293960.0,162409.0,45.27,244068.0,29.29,4.41,
18,12.0,삼성SDI,412000.0,9500.0,-2.25%,5000.0,283310.0,68765.0,42.01,167484.0,14.43,11.48,
19,13.0,삼성물산,150200.0,2800.0,+1.90%,100.0,278759.0,185592.0,24.96,144372.0,12.7,7.28,
20,14.0,LG화학,371500.0,6500.0,-1.72%,5000.0,262251.0,70592.0,38.95,135540.0,21.74,4.2,
21,15.0,신한지주,45000.0,700.0,+1.58%,5000.0,229227.0,509393.0,61.12,977085.0,5.36,8.36,
